Konstrukt,Construct (Translated),Variablenname,Quelle (Unipark / R),Instruktion,Instructions (translated),Fragentext,Text of question (translated),Antwortformat,Format of answer (translate),fehlende Werte (Angabe durch Proband),fehlende Werte (systemseitig),"Rekodierung in R (s. Tabellenblatt ""neu berechnet"")",Anmerkungen,Notes (translated),Änderung über Wellen hinweg,"change between waves (translated)
","Welle 1
03./04.03.","Welle 2
10./11.03.","Welle 3
17./18.03.","Welle 4
24./25.03.","Welle 5
31.03./01.04.","Welle 6
07./08.04.","Welle 7
14./15.04.","Welle 8
21./22.04.","Welle 9
28./29.04.",Welle 10,Welle 11,Welle 12,Welle 13,Welle 14,Welle 15
Alter,Age,AGE,Unipark,keine,no,Wie alt sind Sie?,How old are they?,Ganzzahl,integer,keine,keine,"AGEGROUP
AGE_RISK_GROUP",keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Geschlecht,gender,GENDER,Unipark,keine,no,Welches Geschlecht haben Sie?,Which gender are you?,"1	Männlich
2	Weiblich","1 Male
2 Female",keine,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Kinder,children,"CHILD_0_B3
CHILD_3_B6
CHILD_6_B10
CHILD_10_B14
CHILD_14_B18
CHILD_NO",Unipark,keine,no,Haben Sie ein oder mehrere Kinder unter 18 Jahren?,If you have one or more children under 18?,"CHILD_0_B3		0 bis unter 3 Jahre
CHILD_3_B6		3 bis unter 6 Jahre
CHILD_6_B10	6 bis unter 10 Jahre
CHILD_10_B14	10 bis unter 14 Jahre
CHILD_14_B18	14 bis unter 18 Jahre
CHILD_NO		keine Kinder unter 18 Jahre

	0	not quoted
	1	quoted","CHILD_0_B3 0 to under 3 years
CHILD_3_B6 3 to under 6
CHILD_6_B10 6 to 10 years
CHILD_10_B14 10 to under 14 years of
CHILD_14_B18 14 to under 18 years of
CHILD_NO no children under 18 years old

0 not quoted
1 quoted",CHILD_NO = 1,NA,CHILD_NO_R,die Antwortoption CHILD_NO ist exklusiv,the answer option is exclusive CHILD_NO,Nein,No,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Bildung,education,EDUCATION,Unipark,keine,no,Bitte machen Sie Angaben zu Ihrer Schulbildung,Please provide information about your education,"1	Bis zu 9 Jahre Schulbildung
2	Mindestens 10 Jahre (ohne Hochschulreife)
3	Mindestens 10 Jahre (mit Hochschulreife)","1 Up to 9 years of education
2 At least 10 years (without a university)
3 At least 10 years (with a university)",keine,keine,keine,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Einwohnerzahl,population,INHABITANTS,Unipark,keine,no,"Wie viele Einwohner hat die Gemeinde, in der Sie leben? ",How many people live in the community where you live?,"1	≤ 5.000 Einwohner
2	5.001 – 20.000 Einwohner
3	20.001 – 100.000 Einwohner
4	100.001 – 500.000 Einwohner
5	> 500.000 Einwohner","1 ≤ 5,000 inhabitants
2 5,001 to 20,000 inhabitants
3 20,001 to 100,000 inhabitants
4 from 100,001 to 500,000 inhabitants
5> 500,000",keine,keine,COMMUNITY,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Bundesland,federal state,STATE,Unipark,keine,no,In welchem Bundesland wohnen Sie?,In which state do you live?,"1	Baden-Württemberg
2	Bayern
3	Berlin
4	Brandenburg
5	Bremen
6	Hamburg
7	Hessen
8	Mecklenburg-Vorpommern
9	Niedersachsen
10	Nordrhein-Westfalen
11	Rheinland-Pfalz
12	Saarland
13	Sachsen
14	Sachsen-Anhalt
15	Schleswig-Holstein
16	Thüringen","1 Baden-Württemberg
2 Bayern
3 Berlin
4 Brandenburg
5 Bremen
6 Hamburg
7 Hessen
8 Mecklenburg-Vorpommern
9 Lower Saxony
10 North Rhine-Westphalia
11 Rhineland-Palatinate
12 Saarland
13 Saxony
14 Saxony-Anhalt
15 Schleswig-Holstein
16 Thuringia",keine,keine,OST_WEST,keine,no,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Häusliche Gewalt,domestic violence,IPV_PARTNER1,Unipark,keine,no,Leben Sie in einer Beziehung oder Partnerschaft (einschließlich Ehe)?,Do you live in a relationship or partnership (including marriage)?,"1	Ja
2	Nein","1 Yes
2 No",keine,NA,keine,vergleichbar zu RELATIONSHIP in Welle 5,comparable to RELATIONSHIP in wave 5,Nein,No,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Beziehungsstatus,relationship status,RELATIONSHIP,Unipark,keine,no,Leben Sie in einer festen Partnerschaft?,Do you live in a committed relationship?,"1	Ja
2	Nein","1 Yes
2 No",keine,NA,keine,keine,no,vergleichbar zu IPV_PARTNER1 in Welle 6,comparable to IPV_PARTNER1 in wave 6,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Migrationshintergrund,Immigrant background,MIGRATION,Unipark,keine,no,Sind Sie oder eines Ihrer Elternteile im Ausland geboren?,Are you or one of your parents was born abroad?,"1	Ja
2	Nein
99	Weiß nicht","1 Yes
2 No
99 Do not know",keine,"NA
99",MIGRATION_R,keine,no,Nein,No,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Haushaltsgröße,household size,HOUSEHOLD_SIZE,Unipark,keine,no,Wie viele Personen leben ständig in Ihrem Haushalt? ,How many people live in your household?,"1	Nur ich
2	2 Personen
3	3 bis 4 Personen
4	Mehr als 4 Personen
88	Keine Angabe","1 Only I
2 2 persons
3 3 to 4 people
4 More than 4 people
88 No Information",keine,"NA
88","HOUSEHOLD_SIZE_R
HOUSEHOLD_SINGLE",keine,no,Nein,No,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
