Datum des Erkrankungsbeginns,Punktschätzer der Anzahl Neuerkrankungen (ohne Glättung),Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glä,Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glät,Punktschätzer der Anzahl Neuerkrankungen,Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Punktschätzer der Reproduktionszahl R,Untere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Obere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Punktschätzer des 7-Tage-R Wertes,Untere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes,Obere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes
3/2/2020,304,291,320,225,212,239,,,,,,
3/3/2020,326,312,344,262,249,277,,,,,,
3/4/2020,451,433,471,327,312,344,,,,,,
3/5/2020,504,481,526,396,379,415,,,,,,
3/6/2020,764,740,794,512,491,534,2.27,2.19,2.37,2.34,2.29,2.39
3/7/2020,990,962,1017,677,654,702,2.58,2.5,2.68,2.56,2.51,2.61
3/8/2020,1341,1308,1371,900,873,927,2.75,2.67,2.83,2.93,2.88,2.98
3/9/2020,2007,1965,2046,1276,1244,1307,3.22,3.14,3.29,3.12,3.07,3.17
3/10/2020,2571,2523,2613,1727,1690,1762,3.38,3.3,3.45,3.2,3.16,3.25
3/11/2020,3245,3190,3295,2291,2247,2331,3.38,3.31,3.45,3.1,3.06,3.14
3/12/2020,3607,3548,3660,2857,2806,2903,3.18,3.13,3.23,2.84,2.82,2.87
3/13/2020,4380,4325,4439,3451,3396,3502,2.71,2.67,2.74,2.51,2.49,2.52
3/14/2020,4466,4412,4516,3925,3869,3977,2.27,2.25,2.3,2.19,2.17,2.2
3/15/2020,4717,4656,4779,4293,4235,4348,1.87,1.85,1.89,2,1.99,2.01
3/16/2020,6043,5975,6122,4902,4842,4964,1.72,1.7,1.73,1.75,1.74,1.76
3/17/2020,5252,5193,5314,5119,5059,5182,1.48,1.47,1.5,1.56,1.55,1.57
3/18/2020,5327,5268,5392,5335,5273,5401,1.36,1.35,1.37,1.4,1.39,1.4
3/19/2020,4739,4684,4806,5340,5280,5408,1.24,1.23,1.25,1.24,1.23,1.24
3/20/2020,5311,5243,5384,5157,5097,5224,1.05,1.04,1.06,1.13,1.12,1.14
3/21/2020,4434,4362,4485,4952,4889,5016,0.97,0.96,0.98,1.03,1.03,1.04
3/22/2020,3809,3745,3877,4573,4508,4638,0.86,0.85,0.87,0.97,0.97,0.98
3/23/2020,5148,5088,5202,4675,4609,4737,0.88,0.87,0.88,0.92,0.91,0.92
3/24/2020,4093,4038,4151,4371,4308,4428,0.85,0.84,0.86,0.89,0.89,0.9
3/25/2020,4399,4333,4463,4362,4301,4423,0.88,0.87,0.89,0.89,0.89,0.9
