date,driving,transit,walking
2020-01-13,100.0,100.0,100.0
2020-01-14,103.67,98.09,99.31
2020-01-15,105.55,98.22,104.04
2020-01-16,104.16,99.55,107.99
2020-01-17,110.4,111.53,131.4
2020-01-18,105.47,108.82,126.32
2020-01-19,103.52,102.06,96.4
2020-01-20,102.37,96.41,102.74
2020-01-21,104.12,99.1,104.03
2020-01-22,107.02,99.58,108.79
2020-01-23,107.19,103.12,106.78
2020-01-24,112.43,114.83,133.24
2020-01-25,106.45,111.8,133.19
2020-01-26,99.5,98.21,89.04
2020-01-27,100.78,100.76,97.29
2020-01-28,103.15,105.78,105.64
2020-01-29,106.05,108.27,112.5
2020-01-30,107.95,111.65,115.06
2020-01-31,121.58,127.94,146.15
2020-02-01,114.3,120.71,140.82
2020-02-02,110.32,115.79,104.73
2020-02-03,105.32,103.61,105.01
2020-02-04,107.72,102.2,106.31
2020-02-05,108.5,107.19,111.81
2020-02-06,107.35,102.62,110.86
2020-02-07,114.06,115.24,131.5
2020-02-08,105.43,112.3,131.07
2020-02-09,93.99,101.45,77.13
2020-02-10,103.42,103.7,101.2
2020-02-11,107.14,107.76,104.24
2020-02-12,108.02,103.61,104.43
2020-02-13,110.03,105.5,119.29
2020-02-14,113.19,114.41,141.38
2020-02-15,104.27,112.56,125.1
2020-02-16,98.93,107.51,81.17
2020-02-17,102.21,105.58,97.36
2020-02-18,107.19,111.99,107.58
2020-02-19,110.27,114.15,117.17
2020-02-20,112.79,122.5,120.13
2020-02-21,118.37,130.37,145.54
2020-02-22,109.78,124.55,123.99
2020-02-23,103.25,106.04,88.97
2020-02-24,103.9,102.94,100.38
2020-02-25,110.44,104.58,98.78
2020-02-26,110.13,106.09,107.83
2020-02-27,112.25,104.81,115.52
2020-02-28,124.22,120.99,147.94
2020-02-29,116.13,120.91,135.36
2020-03-01,107.98,105.83,96.3
2020-03-02,103.48,98.93,104.5
2020-03-03,108.13,102.88,106.18
2020-03-04,109.36,101.65,111.64
2020-03-05,110.75,103.03,115.88
2020-03-06,118.81,115.12,137.78
2020-03-07,113.75,109.95,143.34
2020-03-08,104.49,97.29,90.9
2020-03-09,101.64,93.95,97.37
2020-03-10,100.99,91.14,93.53
2020-03-11,90.37,77.56,91.86
2020-03-12,67.62,48.7,54.89
2020-03-13,66.97,45.07,62.04
2020-03-14,62.05,39.65,66.91
2020-03-15,56.49,33.91,46.67
2020-03-16,62.62,32.69,55.9
2020-03-17,58.82,28.17,49.84
2020-03-18,55.46,25.76,45.91
2020-03-19,59.78,29.16,56.3
2020-03-20,60.23,27.97,54.85
2020-03-21,56.59,27.14,59.29
2020-03-22,55.81,27.42,50.87
2020-03-23,59.21,26.07,52.11
2020-03-24,60.48,26.51,53.17
2020-03-25,62.93,26.33,56.91
2020-03-26,64.33,27.01,58.8
2020-03-27,66.46,27.21,63.98
2020-03-28,62.57,28.69,64.24
2020-03-29,59.38,27.39,50.9
2020-03-30,64.61,27.76,54.27
2020-03-31,70.8,29.02,60.88
2020-04-01,69.53,28.55,54.62
2020-04-02,69.08,29.55,53.2
2020-04-03,72.34,28.34,58.8
2020-04-04,67.84,31.71,64.62
2020-04-05,75.49,33.54,72.24
2020-04-06,84.67,34.78,80.21
2020-04-07,86.89,35.29,81.1
2020-04-08,89.81,35.24,80.84
2020-04-09,74.33,33.76,72.01
2020-04-10,74.66,34.54,73.72
2020-04-11,71.32,32.59,65.98
2020-04-12,71.54,34.4,69.45
2020-04-13,73.58,35.26,60.65
2020-04-14,77.88,34.36,66.49
2020-04-15,80.32,37.09,70.92
2020-04-16,82.37,37.28,74.24
2020-04-17,85.22,40.06,81.08
2020-04-18,80.85,38.39,82.95
2020-04-19,84.05,42.4,79.49
2020-04-20,85.69,41.87,83.64
2020-04-21,88.88,43.19,86.29
2020-04-22,91.11,42.56,88.04
2020-04-23,93.2,45.63,90.22
2020-04-24,92.28,44.02,88.08
2020-04-25,85.8,43.87,87.26
2020-04-26,85.75,45.5,75.37
2020-04-27,86.22,42.76,75.19
2020-04-28,89.35,43.49,82.19
2020-04-29,88.06,41.71,69.03
2020-04-30,90.64,44.71,68.65
2020-05-01,94.39,47.39,84.29
2020-05-02,87.7,44.9,80.43
2020-05-03,95.53,48.91,86.44
2020-05-04,94.7,49.22,87.77
2020-05-05,98.29,48.86,90.13
2020-05-06,100.29,48.86,91.81
2020-05-07,107.21,51.43,100.04
2020-05-08,100.57,52.11,101.83
2020-05-09,100.51,51.12,102.64
2020-05-10,100.3,49.92,83.63
2020-05-11,,,
2020-05-12,,,
2020-05-13,105.15,54.15,92.24
2020-05-14,106.35,52.96,91.64
2020-05-15,108.96,55.15,93.69
2020-05-16,97.96,53.99,84.3
