date,median,lower_90,upper_90,lower_50,upper_50,confidence
2020-01-19,1.0,1,1,1,1,1.0
2020-01-20,0.0,0,0,0,0,1.0
2020-01-21,0.5,0,1,0,1,1.0
2020-01-22,0.5,0,1,0,1,1.0
2020-01-23,0.0,0,1,0,0,1.0
2020-01-24,0.0,0,1,0,0,1.0
2020-01-25,0.0,0,1,0,0,1.0
2020-01-26,0.0,0,1,0,0,1.0
2020-01-27,0.0,0,1,0,0,1.0
2020-01-28,0.0,0,1,0,0,1.0
2020-01-29,0.0,0,1,0,0,1.0
2020-01-30,0.0,0,1,0,0,1.0
2020-01-31,0.0,0,1,0,0,1.0
2020-02-01,0.0,0,1,0,0,1.0
2020-02-02,0.0,0,1,0,0,1.0
2020-02-03,0.0,0,1,0,0,1.0
2020-02-04,0.0,0,1,0,0,1.0
2020-02-05,0.0,0,1,0,0,1.0
2020-02-06,0.0,0,2,0,0,1.0
2020-02-07,1.0,0,2,0,1,1.0
2020-02-08,1.0,0,2,0,1,1.0
2020-02-09,1.0,0,2,0,1,1.0
2020-02-10,1.0,0,3,0,1,1.0
2020-02-11,1.0,0,3,0,1,1.0
2020-02-12,1.0,0,3,0,1,1.0
2020-02-13,1.0,0,4,0,1,1.0
2020-02-14,2.0,0,5,0,2,1.0
2020-02-15,2.0,0,6,0,2,1.0
2020-02-16,3.0,0,7,0,3,1.0
2020-02-17,4.0,0,9,1,4,1.0
2020-02-18,5.0,0,10,1,5,1.0
2020-02-19,6.0,1,13,3,7,1.0
2020-02-20,8.0,2,15,4,9,1.0
2020-02-21,10.0,3,18,5,11,1.0
2020-02-22,12.0,3,20,7,14,1.0
2020-02-23,16.0,6,25,10,17,1.0
2020-02-24,19.5,8,30,12,21,1.0
2020-02-25,23.0,11,35,16,26,1.0
2020-02-26,29.0,16,42,22,33,1.0
2020-02-27,34.0,21,50,26,38,1.0
2020-02-28,42.0,26,58,31,45,1.0
2020-02-29,49.0,32,65,40,54,1.0
2020-03-01,58.0,38,72,51,64,1.0
2020-03-02,66.0,47,82,56,70,1.0
2020-03-03,76.0,57,93,66,81,1.0
2020-03-04,85.0,64,100,78,92,1.0
2020-03-05,93.0,76,109,84,97,1.0
2020-03-06,98.0,83,116,88,102,1.0
2020-03-07,101.0,84,118,90,104,1.0
2020-03-08,101.0,84,117,96,109,1.0
2020-03-09,97.0,79,113,89,102,1.0
2020-03-10,93.0,75,111,85,99,1.0
2020-03-11,91.0,72,111,80,95,1.0
2020-03-12,92.0,70,113,82,100,1.0
2020-03-13,98.5,73,120,85,105,1.0
2020-03-14,105.0,81,127,93,112,1.0
2020-03-15,113.0,88,140,100,120,1.0
2020-03-16,123.0,95,150,112,133,1.0
2020-03-17,132.0,103,161,119,144,1.0
2020-03-18,144.0,113,174,131,155,1.0
2020-03-19,157.0,128,186,141,165,1.0
2020-03-20,171.0,137,201,156,181,1.0
2020-03-21,185.0,151,214,171,195,1.0
2020-03-22,198.0,169,230,181,206,1.0
2020-03-23,212.0,180,242,198,225,1.0
2020-03-24,222.0,192,251,206,230,1.0
2020-03-25,235.0,204,263,222,245,1.0
2020-03-26,244.0,214,273,231,254,1.0
2020-03-27,251.0,223,280,236,259,1.0
2020-03-28,257.0,229,284,243,265,1.0
2020-03-29,260.0,231,289,248,271,1.0
2020-03-30,259.0,232,288,245,268,1.0
2020-03-31,253.0,227,284,236,258,1.0
2020-04-01,245.0,215,272,233,254,1.0
2020-04-02,235.0,209,262,222,243,1.0
2020-04-03,221.0,196,248,210,231,1.0
2020-04-04,210.0,185,236,200,220,1.0
2020-04-05,197.0,173,221,181,202,1.0
2020-04-06,184.0,160,207,172,191,1.0
2020-04-07,175.0,149,194,163,181,1.0
2020-04-08,167.0,143,186,159,176,1.0
2020-04-09,164.0,142,183,153,170,1.0
2020-04-10,162.0,136,180,151,168,1.0
2020-04-11,161.0,142,183,148,165,1.0
2020-04-12,161.0,139,182,150,168,1.0
2020-04-13,159.0,136,178,149,166,1.0
2020-04-14,156.0,134,175,148,164,1.0
2020-04-15,154.0,136,178,143,159,1.0
2020-04-16,152.0,133,173,139,156,1.0
2020-04-17,151.0,131,170,142,158,1.0
2020-04-18,148.0,126,168,136,153,1.0
2020-04-19,147.0,126,165,140,155,1.0
2020-04-20,144.0,124,165,134,150,1.0
2020-04-21,139.0,118,157,126,142,1.0
2020-04-22,135.0,116,156,123,139,1.0
2020-04-23,131.0,111,149,122,137,1.0
2020-04-24,128.0,107,144,119,133,1.0
2020-04-25,124.0,103,140,115,129,1.0
2020-04-26,120.0,103,139,109,124,1.0
2020-04-27,117.0,98,133,107,122,1.0
2020-04-28,114.0,96,131,103,118,1.0
2020-04-29,110.0,94,128,103,117,1.0
2020-04-30,106.0,88,125,97,112,1.0
2020-05-01,103.0,83,117,95,108,1.0
2020-05-02,98.0,82,115,90,103,1.0
2020-05-03,92.0,74,107,85,97,1.0
2020-05-04,86.0,72,102,76,89,1.0
2020-05-05,80.0,62,94,73,85,1.0
2020-05-06,74.0,62,90,64,76,1.0
2020-05-07,70.0,55,82,63,74,1.0
2020-05-08,66.0,51,78,57,68,1.0
2020-05-09,62.0,48,74,55,65,1.0
2020-05-10,60.0,46,71,53,63,1.0
2020-05-11,58.0,45,70,53,62,1.0
2020-05-12,57.0,46,69,50,60,1.0
2020-05-13,56.0,43,67,48,58,1.0
2020-05-14,55.0,43,66,48,58,0.99
2020-05-15,53.0,41,64,47,56,0.99
2020-05-16,53.0,41,63,46,55,0.99
2020-05-17,51.0,40,63,44,53,0.99
2020-05-18,50.0,38,60,44,53,0.98
2020-05-19,48.0,36,58,39,49,0.98
2020-05-20,46.0,34,56,41,50,0.97
2020-05-21,45.0,34,55,41,49,0.97
2020-05-22,44.0,33,54,40,48,0.96
2020-05-23,44.0,33,54,38,47,0.95
2020-05-24,44.0,34,55,37,46,0.93
2020-05-25,44.0,33,54,39,47,0.91
2020-05-26,45.0,34,57,39,48,0.89
2020-05-27,46.0,35,58,39,48,0.85
2020-05-28,46.0,33,58,39,49,0.81
