date,driving,transit,walking
2020-01-13,100.0,100.0,100.0
2020-01-14,101.6,100.31,105.95
2020-01-15,104.67,102.48,108.49
2020-01-16,107.25,103.75,121.22
2020-01-17,112.07,106.97,117.98
2020-01-18,114.84,111.44,135.17
2020-01-19,93.4,93.29,79.07
2020-01-20,94.67,97.27,86.45
2020-01-21,94.52,97.37,90.11
2020-01-22,97.84,101.6,91.4
2020-01-23,98.36,98.73,95.75
2020-01-24,111.42,102.88,112.71
2020-01-25,109.7,108.67,117.06
2020-01-26,87.85,86.82,66.53
2020-01-27,91.22,93.38,77.64
2020-01-28,92.87,96.84,84.94
2020-01-29,97.88,102.13,95.11
2020-01-30,97.18,102.44,93.85
2020-01-31,107.43,114.36,108.5
2020-02-01,114.7,125.0,126.17
2020-02-02,91.31,96.52,70.78
2020-02-03,93.45,99.2,83.3
2020-02-04,93.89,100.43,86.31
2020-02-05,99.17,107.64,94.07
2020-02-06,99.49,106.75,99.16
2020-02-07,110.43,115.25,106.88
2020-02-08,117.24,115.65,117.98
2020-02-09,89.9,96.23,66.62
2020-02-10,94.95,105.43,80.08
2020-02-11,95.69,105.21,86.83
2020-02-12,99.98,109.02,93.75
2020-02-13,101.41,111.95,95.63
2020-02-14,118.69,119.97,117.96
2020-02-15,126.61,117.34,126.34
2020-02-16,96.71,101.79,74.44
2020-02-17,100.32,118.54,86.9
2020-02-18,100.83,118.54,95.91
2020-02-19,102.03,116.32,94.03
2020-02-20,104.31,118.49,99.23
2020-02-21,118.42,125.78,108.42
2020-02-22,127.73,127.21,120.95
2020-02-23,97.72,108.53,75.84
2020-02-24,99.66,115.31,88.4
2020-02-25,99.4,115.9,89.42
2020-02-26,100.49,120.41,90.61
2020-02-27,99.76,121.51,90.86
2020-02-28,110.5,132.46,106.25
2020-02-29,111.85,132.41,109.99
2020-03-01,87.03,100.53,61.23
2020-03-02,90.07,104.69,73.5
2020-03-03,92.79,106.87,83.57
2020-03-04,95.13,109.26,82.79
2020-03-05,95.6,111.99,83.03
2020-03-06,104.21,121.29,98.34
2020-03-07,107.37,124.75,112.37
2020-03-08,83.78,95.36,61.73
2020-03-09,86.66,97.3,72.76
2020-03-10,88.19,98.7,77.48
2020-03-11,90.42,104.31,84.66
2020-03-12,82.45,92.11,79.25
2020-03-13,83.06,85.57,79.32
2020-03-14,77.54,74.08,75.85
2020-03-15,52.76,42.55,39.6
2020-03-16,56.5,32.84,31.2
2020-03-17,31.7,16.57,18.24
2020-03-18,23.05,13.58,17.24
2020-03-19,22.4,12.71,18.13
2020-03-20,21.2,12.29,15.84
2020-03-21,16.23,10.75,12.37
2020-03-22,15.33,10.31,10.7
2020-03-23,22.36,12.06,17.67
2020-03-24,22.54,12.06,17.57
2020-03-25,22.2,11.75,16.13
2020-03-26,22.05,11.58,15.08
2020-03-27,21.83,11.23,14.87
2020-03-28,18.44,11.07,14.26
2020-03-29,17.2,10.66,10.44
2020-03-30,22.89,11.96,12.95
2020-03-31,23.74,12.04,14.09
2020-04-01,23.86,11.92,14.68
2020-04-02,24.15,11.87,14.64
2020-04-03,23.5,11.56,15.13
2020-04-04,19.72,10.7,14.93
2020-04-05,19.61,11.25,14.45
2020-04-06,25.69,12.6,14.9
2020-04-07,26.27,12.49,16.18
2020-04-08,26.46,12.2,16.23
2020-04-09,26.9,12.1,16.66
2020-04-10,26.58,12.25,17.09
2020-04-11,21.66,11.43,15.5
2020-04-12,17.91,10.56,12.49
2020-04-13,21.83,12.25,13.84
2020-04-14,30.2,13.68,17.36
2020-04-15,30.76,13.56,18.07
2020-04-16,31.09,13.78,18.22
2020-04-17,30.44,13.92,18.3
2020-04-18,24.49,12.55,15.95
2020-04-19,23.65,12.96,13.91
2020-04-20,32.28,14.91,17.37
2020-04-21,33.3,15.76,18.56
2020-04-22,33.86,15.49,19.22
2020-04-23,34.29,15.34,19.68
2020-04-24,32.44,14.68,18.93
2020-04-25,26.22,13.58,17.08
2020-04-26,26.32,14.11,16.18
2020-04-27,34.69,16.11,17.7
2020-04-28,45.68,18.43,19.22
2020-04-29,42.32,18.1,18.96
2020-04-30,39.47,17.36,18.88
2020-05-01,30.65,15.99,15.67
2020-05-02,32.43,16.16,17.84
2020-05-03,32.5,17.49,17.45
2020-05-04,41.89,20.31,21.65
