date,median,lower_90,upper_90,lower_50,upper_50,confidence
2019-12-19,1.0,1,1,1,1,1.0
2019-12-20,0.0,0,0,0,0,1.0
2019-12-21,0.0,0,0,0,0,1.0
2019-12-22,0.0,0,0,0,0,1.0
2019-12-23,0.5,0,1,0,1,1.0
2019-12-24,0.5,0,1,0,1,1.0
2019-12-25,0.0,0,1,0,0,1.0
2019-12-26,0.0,0,1,0,0,1.0
2019-12-27,1.0,0,1,1,1,1.0
2019-12-28,0.0,0,1,0,0,1.0
2019-12-29,0.0,0,1,0,0,1.0
2019-12-30,0.0,0,1,0,0,1.0
2019-12-31,0.0,0,1,0,0,1.0
2020-01-01,0.0,0,1,0,0,1.0
2020-01-02,0.0,0,1,0,0,1.0
2020-01-03,0.0,0,1,0,0,1.0
2020-01-04,0.0,0,1,0,0,1.0
2020-01-05,0.0,0,1,0,0,1.0
2020-01-06,0.0,0,1,0,0,1.0
2020-01-07,0.0,0,1,0,0,1.0
2020-01-08,0.0,0,1,0,0,1.0
2020-01-09,0.0,0,1,0,0,1.0
2020-01-10,0.0,0,1,0,0,1.0
2020-01-11,0.0,0,1,0,0,1.0
2020-01-12,0.0,0,1,0,0,1.0
2020-01-13,0.0,0,1,0,0,1.0
2020-01-14,0.0,0,1,0,0,1.0
2020-01-15,0.0,0,1,0,0,1.0
2020-01-16,0.0,0,1,0,0,1.0
2020-01-17,0.0,0,1,0,0,1.0
2020-01-18,0.0,0,1,0,0,1.0
2020-01-19,0.0,0,1,0,0,1.0
2020-01-20,0.0,0,1,0,0,1.0
2020-01-21,0.0,0,1,0,0,1.0
2020-01-22,0.0,0,1,0,0,1.0
2020-01-23,0.0,0,1,0,0,1.0
2020-01-24,0.0,0,1,0,0,1.0
2020-01-25,0.0,0,1,0,0,1.0
2020-01-26,0.0,0,1,0,0,1.0
2020-01-27,0.0,0,2,0,0,1.0
2020-01-28,0.0,0,2,0,0,1.0
2020-01-29,1.0,0,2,0,1,1.0
2020-01-30,1.0,0,2,0,1,1.0
2020-01-31,1.0,0,2,0,1,1.0
2020-02-01,1.0,0,3,0,1,1.0
2020-02-02,1.0,0,3,0,1,1.0
2020-02-03,1.0,0,4,0,1,1.0
2020-02-04,2.0,0,5,0,2,1.0
2020-02-05,2.0,0,5,0,2,1.0
2020-02-06,2.0,0,6,0,2,1.0
2020-02-07,3.0,0,8,0,3,1.0
2020-02-08,4.0,0,10,1,4,1.0
2020-02-09,5.0,0,13,1,5,1.0
2020-02-10,6.5,0,15,2,7,1.0
2020-02-11,8.0,0,20,2,9,1.0
2020-02-12,11.0,1,24,4,12,1.0
2020-02-13,14.0,2,30,6,16,1.0
2020-02-14,19.0,4,37,6,19,1.0
2020-02-15,23.0,5,45,12,27,1.0
2020-02-16,29.0,7,56,14,32,1.0
2020-02-17,37.0,11,67,19,41,1.0
2020-02-18,47.0,19,86,25,51,1.0
2020-02-19,59.0,21,100,37,68,1.0
2020-02-20,74.0,34,126,46,83,1.0
2020-02-21,91.5,38,146,65,108,1.0
2020-02-22,113.0,53,180,72,123,1.0
2020-02-23,138.0,65,211,103,163,1.0
2020-02-24,168.0,85,250,130,198,1.0
2020-02-25,204.0,115,308,153,232,1.0
2020-02-26,242.0,145,366,187,272,1.0
2020-02-27,295.0,173,416,232,330,1.0
2020-02-28,348.5,221,499,261,375,1.0
2020-02-29,414.0,264,566,324,451,1.0
2020-03-01,484.0,312,649,407,544,1.0
2020-03-02,561.5,376,749,479,630,1.0
2020-03-03,655.0,453,850,543,710,1.0
2020-03-04,755.0,536,970,643,826,1.0
2020-03-05,871.0,621,1085,746,943,1.0
2020-03-06,987.5,743,1244,865,1076,1.0
2020-03-07,1114.5,862,1392,983,1204,1.0
2020-03-08,1262.5,960,1525,1123,1366,1.0
2020-03-09,1406.0,1138,1726,1256,1508,1.0
