Date,Confirmed,Recovered,Deaths
2020-01-22,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0
2020-01-27,1.0,0.0,0.0
2020-01-28,4.0,0.0,0.0
2020-01-29,4.0,0.0,0.0
2020-01-30,4.0,0.0,0.0
2020-01-31,5.0,0.0,0.0
2020-02-01,8.0,0.0,0.0
2020-02-02,10.0,0.0,0.0
2020-02-03,12.0,0.0,0.0
2020-02-04,12.0,0.0,0.0
2020-02-05,12.0,0.0,0.0
2020-02-06,12.0,0.0,0.0
2020-02-07,13.0,0.0,0.0
2020-02-08,13.0,0.0,0.0
2020-02-09,14.0,0.0,0.0
2020-02-10,14.0,0.0,0.0
2020-02-11,16.0,0.0,0.0
2020-02-12,16.0,0.0,0.0
2020-02-13,16.0,1.0,0.0
2020-02-14,16.0,1.0,0.0
2020-02-15,16.0,1.0,0.0
2020-02-16,16.0,1.0,0.0
2020-02-17,16.0,1.0,0.0
2020-02-18,16.0,12.0,0.0
2020-02-19,16.0,12.0,0.0
2020-02-20,16.0,12.0,0.0
2020-02-21,16.0,14.0,0.0
2020-02-22,16.0,14.0,0.0
2020-02-23,16.0,14.0,0.0
2020-02-24,16.0,14.0,0.0
2020-02-25,17.0,14.0,0.0
2020-02-26,27.0,15.0,0.0
2020-02-27,46.0,16.0,0.0
2020-02-28,48.0,16.0,0.0
2020-02-29,79.0,16.0,0.0
2020-03-01,130.0,16.0,0.0
2020-03-02,159.0,16.0,0.0
2020-03-03,196.0,16.0,0.0
2020-03-04,262.0,16.0,0.0
2020-03-05,482.0,16.0,0.0
2020-03-06,670.0,17.0,0.0
2020-03-07,799.0,18.0,0.0
2020-03-08,1040.0,18.0,0.0
2020-03-09,1176.0,18.0,2.0
2020-03-10,1457.0,18.0,2.0
2020-03-11,1908.0,25.0,3.0
2020-03-12,2078.0,25.0,3.0
2020-03-13,3675.0,46.0,7.0
2020-03-14,4585.0,46.0,9.0
2020-03-15,5795.0,46.0,11.0
2020-03-16,7272.0,67.0,17.0
2020-03-17,9257.0,67.0,24.0
2020-03-18,12327.0,105.0,28.0
2020-03-19,15320.0,113.0,44.0
2020-03-20,19848.0,180.0,67.0
2020-03-21,22213.0,233.0,84.0
2020-03-22,24873.0,266.0,94.0
2020-03-23,29056.0,266.0,123.0
2020-03-24,32986.0,3243.0,157.0
2020-03-25,37323.0,3547.0,206.0
2020-03-26,43938.0,5673.0,267.0
2020-03-27,50871.0,6658.0,342.0
2020-03-28,57695.0,8481.0,433.0
2020-03-29,62095.0,9211.0,533.0
2020-03-30,66885.0,13500.0,645.0
2020-03-31,71808.0,16100.0,775.0
2020-04-01,77872.0,18700.0,920.0
2020-04-02,84794.0,22440.0,1107.0
2020-04-03,91159.0,24575.0,1275.0
2020-04-04,96092.0,26400.0,1444.0
2020-04-05,100123.0,28700.0,1584.0
2020-04-06,103374.0,28700.0,1810.0
2020-04-07,107663.0,36081.0,2016.0
2020-04-08,113296.0,46300.0,2349.0
2020-04-09,118181.0,52407.0,2607.0
2020-04-10,122171.0,53913.0,2767.0
2020-04-11,124908.0,57400.0,2736.0
2020-04-12,127854.0,60300.0,3022.0
2020-04-13,130072.0,64300.0,3194.0
2020-04-14,131359.0,68200.0,3294.0
2020-04-15,134753.0,72600.0,3804.0
2020-04-16,137698.0,77000.0,4052.0
2020-04-17,141397.0,83114.0,4352.0
2020-04-18,143342.0,85400.0,4459.0
2020-04-19,145184.0,88000.0,4586.0
2020-04-20,147065.0,91500.0,4862.0
2020-04-21,148291.0,95200.0,5033.0
2020-04-22,150648.0,99400.0,5279.0
2020-04-23,153129.0,103300.0,5575.0
2020-04-24,154999.0,109800.0,5760.0
2020-04-25,156513.0,109800.0,5877.0
2020-04-26,157770.0,112000.0,5976.0
2020-04-27,158758.0,114500.0,6126.0
2020-04-28,159912.0,117400.0,6314.0
2020-04-29,161539.0,120400.0,6467.0
2020-04-30,163009.0,123500.0,6623.0
2020-05-01,164077.0,126900.0,6736.0
2020-05-02,164967.0,129000.0,6812.0
2020-05-03,165664.0,130600.0,6866.0
2020-05-04,166152.0,132700.0,6993.0
