date,country,reported_cases,reported_cases_cumulative,predicted_infections_mean_cumulative,predicted_infections_lower_CI_95_cumulative,predicted_infections_higher_CI_95_cumulative,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95,reported_deaths,reported_deaths_cumulative,estimated_deaths_mean_cumulative,estimated_deaths_lower_CI_95_cumulative,estimated_deaths_higher_CI_95_cumulative,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R(t),time_varying_reproduction_number_R(t)_lower_CI_95,time_varying_reproduction_number_R(t)_higher_CI_95
2020-02-15,Germany,0,0,21.341154674147898,5.602756439674501,51.370493975145905,21.341154674147898,5.602756439674501,51.370493975145905,0,0,2.13411546741479e-14,5.6027564396745004e-15,5.1370493975145895e-14,2.13411546741479e-14,5.6027564396745004e-15,5.1370493975145895e-14,4.31726544780415,3.50355071429088,5.4357543802042105
2020-02-16,Germany,0,0,42.6823093482957,11.205512879349001,102.740987950292,21.341154674147898,5.602756439674501,51.370493975145905,0,0,2.59467007956795e-07,6.81836356833467e-08,6.18725133836714e-07,2.59466986615641e-07,6.81836300805903e-08,6.1872508246622e-07,4.31726544780415,3.50355071429088,5.4357543802042105
2020-02-17,Germany,0,0,64.0234640224436,16.8082693190235,154.111481925438,21.341154674147898,5.602756439674501,51.370493975145905,0,0,1.01192124993511e-05,2.6591615787457804e-06,2.41302782675531e-05,9.85974549139435e-06,2.5909779430624297e-06,2.3511553133716397e-05,4.31726544780415,3.50355071429088,5.4357543802042105
2020-02-18,Germany,0,0,85.3646186965914,22.411025758698003,205.481975900584,21.341154674147898,5.602756439674501,51.370493975145905,0,0,7.965636491234291e-05,2.0932374440344e-05,0.0001899486003685,6.95371524129917e-05,1.82732128615982e-05,0.000165818322100947,4.31726544780415,3.50355071429088,5.4357543802042105
2020-02-19,Germany,0,0,106.705773370739,28.013782198372503,256.852469875729,21.341154674147898,5.602756439674501,51.370493975145905,0,0,0.000341458554407524,8.97296571916596e-05,0.000814242208576917,0.000261802189495181,6.87972827513156e-05,0.000624293608208417,4.31726544780415,3.50355071429088,5.4357543802042105
2020-02-20,Germany,0,0,128.046928044887,33.616538638047,308.22296385087503,21.341154674147898,5.602756439674501,51.370493975145905,0,0,0.00108067999927548,0.000283984819291261,0.00257698996852318,0.0007392214448679599,0.000194255162099602,0.00176274775994626,4.31726544780415,3.50355071429088,5.4357543802042105
2020-02-21,Germany,0,0,174.45783710751098,49.7550610608921,405.556148762677,46.4109090626236,16.138522422845,97.33318491180191,0,0,0.00278122662955439,0.00073086033083945,0.00663211415900679,0.00170054663027891,0.00044687551154818896,0.00405512419048361,4.31725920707839,3.5035380133722596,5.435751456165121
2020-02-22,Germany,0,0,231.161662331081,69.83372345739221,523.714700792416,56.703825223569794,20.0786623965002,118.158552029739,0,0,0.00614085032165377,0.0016137571154754302,0.0146432736397226,0.00335962369209938,0.000882896784635976,0.00801115948071585,4.31725691892813,3.50353406369016,5.435750045364621
2020-02-23,Germany,0,0,302.674504095387,96.5225345045318,668.9751926817739,71.5128417643062,26.688811047139502,145.260491889358,0,0,0.0120510138379563,0.0031685084507878897,0.0287289728455937,0.0059101635163025705,0.00155475133531246,0.0140856992058711,4.31725412125708,3.50352928345683,5.4357482879383205
2020-02-24,Germany,0,0,394.605076963702,132.893104964021,849.749252590894,91.9305728683152,36.370570459488896,180.77405990911998,0,0,0.0216914181788649,0.005713992654248479,0.0516614071626747,0.00964040434090852,0.0025454842034605897,0.022932434317081002,4.31725058536603,3.5035234211634796,5.4357459469935705
2020-02-25,Germany,0,0,513.514273776237,182.844564427225,1077.10363982239,118.909196812535,49.951459463204,227.35438723149701,0,0,0.0364138559943641,0.00963129790887972,0.0865445992331074,0.0147224378154992,0.00391730525463124,0.0348831920704327,4.3172460278158304,3.5035161488899904,5.435742735025411
2020-02-26,Germany,2,2,667.551211761232,250.75958650735,1362.92115510444,154.036937984995,67.91502208012571,285.81751528204603,0,0,0.0579765026350497,0.0154445164504065,0.137288016664078,0.0215626466406856,0.00581321854152675,0.050743417430970994,4.31724011659936,3.5035070870325398,5.43573830135613
2020-02-27,Germany,4,6,867.1972246896851,343.322646022048,1724.07483400154,199.646012928453,92.5630595146975,361.153678897108,0,0,0.0883687790390167,0.0237904765895344,0.208152854556559,0.030392276403967,0.00834596013912792,0.0708648378924809,4.317232438135029,3.5034957823407398,5.43573218069028
2020-02-28,Germany,26,32,1126.0825682828302,469.264369463726,2182.53592501367,258.885343593143,125.94172344167801,458.46109101212403,0,0,0.130234292304099,0.0355973834445157,0.304466641868412,0.0418655132650823,0.0118069068549813,0.09631378731185303,4.31722245882684,3.50348167789422,5.4357237347025595
2020-02-29,Germany,10,42,1461.9741273453399,639.436959867181,2759.97291513555,335.891559062514,170.172590403456,577.436990121882,0,0,0.18698652320283302,0.0521961698455737,0.43272886713346004,0.0567522308987343,0.016598786401058,0.128262225265048,4.31720948270955,3.50346408124888,5.43571208210449
2020-03-01,Germany,54,96,1898.0426176122,870.517135729274,3491.8587280382003,436.06849026685603,231.080175862093,731.885812902645,0,0,0.262848388314769,0.0751633644016833,0.600742096476192,0.0758618651119353,0.0229671945561096,0.168013229342732,4.317192599973629,3.50344212872488,5.4356960061889
2020-03-02,Germany,18,114,2464.51904835989,1184.36405856139,4414.42648073948,566.476430747688,313.84692283211496,922.567752701288,0,0,0.363229204058521,0.107060783033369,0.8179355762546191,0.100380815743753,0.0318974186316856,0.21719347977842698,4.31717062066234,3.5034147426054196,5.43567382799629
2020-03-03,Germany,28,142,3200.86796887589,1612.2133561605099,5587.819716264251,736.348920516008,427.849297599122,1173.3932355247698,0,0,0.49531348096744604,0.15137971319425597,1.09706438885546,0.132084276908924,0.0443189301608874,0.279128812600842,4.3171419877189905,3.5033805782511003,5.43564323116848
2020-03-04,Germany,39,181,4158.64001138509,2183.03383740656,7077.0567226042,957.7720425091969,570.820481246053,1489.2370063399499,0,0,0.668095140375973,0.212579310426099,1.4559459513871003,0.17278165940852697,0.0611995972318426,0.35888156253163794,4.31710466256065,3.50333795818325,5.43560102013384
2020-03-05,Germany,66,247,5405.21711990495,2947.4143354364696,8990.365210143142,1246.5771085198598,764.380498029908,1913.30848753895,0,0,0.8933353146811159,0.296484918296964,1.9142475084655202,0.225240174305143,0.0839056078708651,0.458301557078425,4.3170559744341706,3.50328478981841,5.4355427864455095
2020-03-06,Germany,138,385,6954.7390788599705,3955.52608513336,11260.656241356,1549.5219589550197,1008.1117496968901,2270.2910312128197,0,0,1.18654687676626,0.412344648911903,2.49852379052101,0.29321156208514193,0.11585973061493901,0.584276282055488,4.1384386958682,3.3291568086697203,5.28978880382434
