date_of_disease_onset,number_of_new_cases_point_estimate_without_smoothing,number_of_new_cases_lower_CI_95_without_smoothing,number_of_new_cases_upper_CI_95_without_smoothing,number_of_new_cases_point_estimate,number_of_new_cases_lower_CI_95,number_of_new_cases_upper_CI_95,reproduction_number_R_point_estimate,reproduction_number_R_lower_CI_95,reproduction_number_R_upper_CI_95,R_7_day_point_estimate,R_7_day_lower_CI_95,R_7_day_upper_CI_95
2020-03-02,312,296,330,229,214,244,,,,,,
2020-03-03,332,316,348,266,251,282,,,,,,
2020-03-04,458,440,478,333,317,351,,,,,,
2020-03-05,503,482,528,401,383,421,,,,,,
2020-03-06,765,741,792,514,495,536,2.25,2.16,2.36,2.32,2.27,2.38
2020-03-07,984,955,1013,677,654,703,2.54,2.44,2.64,2.53,2.47,2.58
2020-03-08,1332,1297,1366,896,869,925,2.69,2.59,2.77,2.88,2.82,2.94
2020-03-09,1985,1945,2029,1266,1234,1300,3.16,3.06,3.24,3.08,3.03,3.13
2020-03-10,2558,2513,2607,1715,1677,1754,3.33,3.25,3.42,3.17,3.12,3.22
2020-03-11,3223,3171,3271,2275,2231,2318,3.36,3.28,3.43,3.08,3.04,3.12
2020-03-12,3595,3538,3651,2840,2791,2889,3.17,3.1,3.23,2.84,2.8,2.87
2020-03-13,4381,4321,4438,3439,3385,3492,2.72,2.67,2.75,2.51,2.49,2.54
2020-03-14,4477,4413,4536,3919,3860,3974,2.29,2.25,2.32,2.2,2.18,2.21
2020-03-15,4713,4647,4778,4291,4229,4351,1.89,1.86,1.91,2.01,1.99,2.02
2020-03-16,6019,5954,6087,4897,4833,4960,1.72,1.7,1.75,1.75,1.74,1.77
2020-03-17,5261,5195,5338,5117,5052,5185,1.49,1.47,1.5,1.57,1.56,1.58
2020-03-18,5315,5249,5379,5327,5261,5395,1.36,1.34,1.37,1.4,1.39,1.41
2020-03-19,4727,4671,4791,5331,5267,5399,1.24,1.23,1.26,1.24,1.23,1.24
2020-03-20,5306,5241,5377,5152,5089,5221,1.05,1.04,1.06,1.13,1.12,1.13
2020-03-21,4443,4386,4507,4948,4887,5013,0.97,0.96,0.98,1.03,1.03,1.04
2020-03-22,3852,3781,3924,4582,4520,4649,0.86,0.85,0.87,0.98,0.97,0.98
2020-03-23,5163,5100,5236,4691,4627,4761,0.88,0.87,0.89,0.92,0.92,0.92
2020-03-24,4139,4071,4206,4399,4334,4468,0.85,0.84,0.86,0.9,0.89,0.9
2020-03-25,4414,4357,4483,4392,4327,4462,0.89,0.88,0.9,0.9,0.89,0.9
2020-03-26,4014,3949,4083,4433,4369,4502,0.97,0.96,0.98,0.88,0.88,0.89
2020-03-27,4122,4055,4189,4172,4108,4240,0.89,0.88,0.9,0.9,0.89,0.9
2020-03-28,3908,3843,3977,4115,4051,4183,0.94,0.92,0.95,0.91,0.9,0.91
2020-03-29,3320,3250,3386,3841,3774,3909,0.87,0.87,0.88,0.9,0.9,0.91
2020-03-30,4383,4326,4438,3933,3868,3998,0.89,0.88,0.9,0.92,0.91,0.93
2020-03-31,3593,3526,3659,3801,3736,3865,0.91,0.9,0.92,0.92,0.92,0.93
2020-04-01,4026,3962,4086,3830,3766,3892,0.93,0.92,0.94,0.93,0.93,0.94
2020-04-02,3761,3697,3830,3940,3878,4003,1.03,1.01,1.04,0.95,0.94,0.95
2020-04-03,3762,3703,3833,3785,3722,3852,0.96,0.95,0.98,0.93,0.93,0.94
2020-04-04,3064,2995,3122,3653,3589,3718,0.96,0.95,0.97,0.93,0.92,0.93
2020-04-05,2730,2674,2799,3329,3267,3396,0.87,0.86,0.88,0.9,0.89,0.9
2020-04-06,3352,3295,3411,3227,3167,3291,0.82,0.81,0.83,0.89,0.88,0.89
2020-04-07,3096,3040,3162,3060,3001,3123,0.81,0.8,0.82,0.87,0.87,0.88
2020-04-08,2898,2834,2963,3019,2960,3084,0.83,0.81,0.84,0.85,0.85,0.86
2020-04-09,2716,2664,2766,3015,2958,3075,0.91,0.89,0.92,0.83,0.83,0.84
2020-04-10,2333,2279,2394,2761,2704,2821,0.86,0.84,0.87,0.8,0.8,0.81
2020-04-11,2018,1973,2062,2491,2437,2546,0.81,0.8,0.83,0.81,0.81,0.82
2020-04-12,1993,1939,2045,2265,2213,2317,0.75,0.74,0.76,0.79,0.78,0.79
2020-04-13,1920,1866,1970,2066,2014,2118,0.69,0.68,0.7,0.79,0.78,0.79
2020-04-14,1987,1936,2042,1979,1928,2030,0.72,0.71,0.73,0.78,0.77,0.79
2020-04-15,1943,1893,1989,1961,1908,2011,0.79,0.78,0.8,0.76,0.75,0.77
2020-04-16,1782,1721,1839,1908,1854,1960,0.84,0.83,0.86,0.79,0.78,0.79
2020-04-17,1684,1627,1735,1849,1794,1901,0.9,0.88,0.92,0.8,0.8,0.81
2020-04-18,1461,1406,1514,1718,1661,1769,0.87,0.85,0.89,0.81,0.8,0.82
2020-04-19,1324,1275,1372,1563,1507,1615,0.8,0.78,0.82,0.84,0.83,0.85
2020-04-20,1569,1525,1611,1509,1458,1558,0.79,0.77,0.81,0.84,0.83,0.85
2020-04-21,1375,1323,1429,1432,1382,1482,0.77,0.76,0.79,0.82,0.81,0.83
2020-04-22,1312,1263,1363,1395,1346,1444,0.81,0.79,0.83,0.83,0.82,0.84
2020-04-23,1307,1256,1355,1391,1342,1439,0.89,0.87,0.91,0.81,0.8,0.82
2020-04-24,1166,1120,1216,1290,1240,1341,0.85,0.83,0.88,0.82,0.8,0.83
2020-04-25,1029,972,1096,1204,1153,1257,0.84,0.82,0.86,0.83,0.81,0.84
2020-04-26,942,896,989,1111,1061,1164,0.8,0.77,0.82,0.82,0.81,0.84
2020-04-27,1125,1062,1186,1066,1012,1122,0.77,0.74,0.79,0.82,0.81,0.83
2020-04-28,932,881,988,1007,953,1065,0.78,0.76,0.8,0.81,0.8,0.83
2020-04-29,890,841,932,972,920,1024,0.81,0.78,0.83,0.81,0.79,0.82
2020-04-30,933,881,987,970,916,1023,0.87,0.84,0.91,0.81,0.79,0.82
2020-05-01,799,741,867,888,836,943,0.83,0.8,0.87,0.81,0.8,0.83
2020-05-02,744,688,797,841,788,896,0.84,0.8,0.87,0.84,0.82,0.86
2020-05-03,787,725,848,816,759,875,0.84,0.81,0.88,0.86,0.84,0.88
2020-05-04,920,833,995,813,747,877,0.84,0.8,0.88,0.89,0.86,0.91
2020-05-05,841,755,933,823,750,893,0.93,0.87,0.97,0.92,0.88,0.95
2020-05-06,800,687,914,837,750,923,0.99,0.93,1.06,0.91,0.87,0.94
2020-05-07,735,633,855,824,727,924,1.01,0.94,1.09,0.92,0.88,0.97
2020-05-08,677,537,800,763,653,875,0.94,0.87,1.05,0.91,0.87,0.96
2020-05-09,625,514,793,709,593,841,0.86,0.79,0.95,0.89,0.84,0.94
2020-05-10,563,421,702,650,526,788,0.78,0.7,0.87,0.88,0.82,0.96
2020-05-11,729,466,987,648,484,821,0.79,0.68,0.92,0.89,0.81,0.97
2020-05-12,752,499,1036,667,475,880,0.88,0.72,1.05,,,
